Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
      1    2.3%      LazyCompile: ~initAsyncResource internal/timers.js:142:27
      1  100.0%        LazyCompile: ~Timeout internal/timers.js:152:17
      1  100.0%          LazyCompile: ~setInterval timers.js:162:21
      1  100.0%            Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
      1    2.3%      LazyCompile: ~hidden internal/errors.js:233:25
      1  100.0%        LazyCompile: ~readSync fs.js:493:18
      1  100.0%          LazyCompile: ~tryReadSync fs.js:338:21
      1  100.0%            LazyCompile: ~readFileSync fs.js:350:22
      1    2.3%      LazyCompile: ~formatWithOptions internal/util/inspect.js:1569:27
      1  100.0%        LazyCompile: ~Console.<computed> internal/console/constructor.js:270:47
      1  100.0%          LazyCompile: ~log internal/console/constructor.js:281:6
      1  100.0%            node::inspector::(anonymous namespace)::InspectorConsoleCall(v8::FunctionCallbackInfo<v8::Value> const&)
      1    2.3%      LazyCompile: ~findLongestRegisteredExtension internal/modules/cjs/loader.js:351:40
      1  100.0%        LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33
      1  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:666:24
      1  100.0%            LazyCompile: ~Module.runMain internal/modules/cjs/loader.js:1000:26
      1    2.3%      LazyCompile: ~createWritableStdioStream internal/process/stdio.js:149:35
      1  100.0%        LazyCompile: ~getStdout internal/process/stdio.js:26:21
      1  100.0%          LazyCompile: ~get internal/console/constructor.js:148:10
      1  100.0%            LazyCompile: ~Console.<computed> internal/console/constructor.js:270:47
      1    2.3%      LazyCompile: ~createHash crypto.js:106:20
      1  100.0%        Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
      1    2.3%      LazyCompile: ~assertSize internal/crypto/random.js:31:20
      1  100.0%        LazyCompile: ~randomBytes internal/crypto/random.js:47:21
